id,text,answer
1,"Az erősségeimre és gyengeségeimre vonatkozó megjegyzéseket szívesen fogadom másoktól, mert így tudom magam fejleszteni.",6
2,"Annak érdekében, hogy fejlesszem önmagam, mások előtt felvállalom a véleményemet, hitemet, érzéseimet.",6
3,"Tisztában vagyok azzal, hogy milyen stílusban gyűjtök információimat, és hogy mi alapján hozom meg a döntéseimet.",6
4,"Jól érzékem van ahhoz, hogy megbirkózzak a kétértelmű és bizonytalan helyzetekkel.",5
5,"Jól kidolgozott személyes viselkedési modellem van, hogy adott szituációban hogyan viselkedem.",4
6,"Hatékony időgazdálkodási módszereket használok, mint például az időm nyomon követése, teendők listájának elkészítése és feladatok rangsorolása.",2
7,"Gyakran megerősítem prioritásaimat, hogy a kevésbé fontos dolgok ne vegyék el az időmet a fontos dolgaimtól.",4
8,Rendszeres testmozgással fenntartom a fittségemet.,6
9,"Nyílt, bizalmi kapcsolatot ápolok olyan személlyel, akivel megoszthatom az engem frusztráló dolgokat.",6
10,"Ismerek és gyakorolok több relaxációs technikát, például légzésgyakorlatokat és izomlazítást.",3
11,Életemben fenntartom az egyensúlyt: a munkámon kívül érdeklődési körömnek megfelelően különböző szabadidős tevékenységekkel is foglalkozom.,5
12,"Világosan és egyértelműen megfogalmazom, hogy mi a probléma. Addig kerülöm a probléma megoldását, amíg pontosan meg nem határozom a problémát.",6
13,"Adott probléma megoldására mindig egynél több alternatív megoldást találok, ahelyett, hogy csak egy nyilvánvaló megoldás lenne.",6
14,"A probléma megoldásának folyamatát lépésről-lépésre határozom meg. Ezek a lépések a következők: meghatározom a problémát, mielőtt alternatív megoldásokat javasolnék, és alternatív megoldásokat keresek, mielőtt kiválasztanám az egyetlen jó megoldást.",5
15,Próbálom többféleképpen megfogalmazni a problémát. Nem korlátozom magam csak egyféle megközelítésre.,5
16,"A probléma eredetének megismeréséhez kérdéseket teszek fel, ezáltal más szemszögből is megvizsgálom a probléma eredetét, mielőtt eljutok annak megoldásához.",5
17,"A probléma megoldását megpróbálom mindkét agyféltekémmel külön-külön megközelíteni: jobb agyféltekémmel, intuitív oldalról és a bal agyféltekémmel, a logikai oldalról.",5
18,"Addig nem értékelem ki az alternatív megoldásokat, amíg azok teljes sorát meg nem határoztam. Nem döntök a legjobb megoldásról addig, amíg nincsen több lehetséges megoldásom.",6
19,"Van néhány speciális technikám, amelyek segítségével kreatív és innovatív megoldásokat tudok kitalálni a problémák megoldására.",4
20,"Gondoskodom arról, hogy minden szempontból eltérő nézetek, szemléletek képviseltessék magukat a komplex problémamegoldó helyzetben.",4
21,"Próbálok információkat gyűjteni a problémamegoldó csoporton kívül is azoktól az egyénektől, akiket érint a meghozandó döntés, elsősorban azért, hogy megtudjam, melyek az ő preferenciáik és mik az ő elvárásaik.",4
22,"Nemcsak azoknak az ötleteit hallgatom meg, akik kreatív megoldást javasolnak, (az ötletek bajnokoktól), hanem azoknak az ötletét is, akik mások ötletét támogatják (támogatók), és azokét is, akik a hátteret adják a megoldások végrehajtására.",4
23,"Bátorítom a kollégákat, hogy a kreatív megoldások elérése érdekében átlépjék a szabályokat, kilépjenek a komfortzónájukból.",2
24,"Segíteni tudok másoknak a saját problémáik felismerésében és meghatározásában, amikor tanácsot adok nekik.",5
25,"Tisztában vagyok azzal, hogy mikor kell valakit coach-ingolni és mikor kell tanácsot adnom helyette.",6
26,"Amikor másoknak visszajelzést adok, nem hivatkozom személyes tulajdonságokra, inkább az adott problémára és annak megoldására koncentrálok.",1
27,"Amikor segíteni próbálok valakinek abban, hogy adott viselkedése pozitív irányba megváltozzon, szinte minden esetben szorosabbra fűzzük a kapcsolatunkat.",4
28,"Objektíven tudok negatív visszajelzést adni másoknak. Tehát objektíven tudok leírni eseményeket, azok következményeit, és hogy milyen érzéseket keltett bennem.",4
29,"Felelősséget vállalok kijelentéseimért és álláspontomért, például a következők használatával: A „Én úgy döntöttem”kijelentést használom az „úgy döntöttek” helyett.",6
30,"Mindig arra törekszem, hogy ha egy más értékrendű személlyel vitába keveredek, akkor valamilyen közös megállapodásra jussunk.",5
31,"Nem beszélek lenézően azokkal az emberekkel, akik nálam alacsonyabb pozícióban vannak, vagy egyszerűen kevesebb információval rendelkeznek, mint én.",5
32,"Amikor valaki problémájáról beszélünk, válaszommal inkább megértést tanúsítok, mint tanácsot adok.",3
33,"Munkám során mindig több erőfeszítést és kezdeményezést teszek, mint amit elvárnak tőlem.",6
34,Folyamatosan fejlesztem készségeimet és tudásomat.,6
35,Határozottan támogatom az ünnepi rendezvényeket és eseményeket a szervezeten belül.,4
36,A szervezet egész területén széles kapcsolati hálót igyekezem kialakítani a szervezet minden szintjén.,4
37,"Munkám során folyamatosan törekszem arra, hogy új ötleteket találjak ki, új tevékenységeket kezdeményezzek és minimalizáljam a rutin feladatokat.",6
38,"Folyamatosan személyes üzeneteket küldök másoknak, főleg akkor, amikor valami fontos feladatot kell végrehajtaniuk, vagy amikor valamilyen fontos információt kell megosztanom velük.",3
39,"Nem vagyok hajlandó tárgyalni olyan személyekkel, akik kényszerítő tárgyalási taktikákat alkalmaznak.",4
40,"Sosem alkalmazok fenyegetést vagy követelőzést, hogy valakire rákényszerítsem az akaratomat.",4
41,"Mindig megvizsgálom, hogy adott személy rendelkezik-e a szükséges forrásokkal és támogatással a feladat megoldásához.",5
42,"Különböző jutalmakat használok arra, hogy a kollégák magas munkateljesítményét támogassam.",5
