id,text,answer
1,"Az erősségeimre és gyengeségeimre vonatkozó megjegyzéseket szívesen fogadom másoktól, mert így tudom magam fejleszteni.",3
2,"Annak érdekében, hogy fejlesszem önmagam, mások előtt felvállalom a véleményemet, hitemet, érzéseimet.",5
3,"Tisztában vagyok azzal, hogy milyen stílusban gyűjtök információimat, és hogy mi alapján hozom meg a döntéseimet.",5
4,"Jól érzékem van ahhoz, hogy megbirkózzak a kétértelmű és bizonytalan helyzetekkel.",5
5,"Jól kidolgozott személyes viselkedési modellem van, hogy adott szituációban hogyan viselkedem.",3
6,"Hatékony időgazdálkodási módszereket használok, mint például az időm nyomon követése, teendők listájának elkészítése és feladatok rangsorolása.",5
7,"Gyakran megerősítem prioritásaimat, hogy a kevésbé fontos dolgok ne vegyék el az időmet a fontos dolgaimtól.",4
8,Rendszeres testmozgással fenntartom a fittségemet.,6
9,"Nyílt, bizalmi kapcsolatot ápolok olyan személlyel, akivel megoszthatom az engem frusztráló dolgokat.",2
10,"Ismerek és gyakorolok több relaxációs technikát, például légzésgyakorlatokat és izomlazítást.",1
11,Életemben fenntartom az egyensúlyt: a munkámon kívül érdeklődési körömnek megfelelően különböző szabadidős tevékenységekkel is foglalkozom.,6
12,"Világosan és egyértelműen megfogalmazom, hogy mi a probléma. Addig kerülöm a probléma megoldását, amíg pontosan meg nem határozom a problémát.",4
13,"Adott probléma megoldására mindig egynél több alternatív megoldást találok, ahelyett, hogy csak egy nyilvánvaló megoldás lenne.",6
14,"A probléma megoldásának folyamatát lépésről-lépésre határozom meg. Ezek a lépések a következők: meghatározom a problémát, mielőtt alternatív megoldásokat javasolnék, és alternatív megoldásokat keresek, mielőtt kiválasztanám az egyetlen jó megoldást.",4
15,Próbálom többféleképpen megfogalmazni a problémát. Nem korlátozom magam csak egyféle megközelítésre.,5
16,"A probléma eredetének megismeréséhez kérdéseket teszek fel, ezáltal más szemszögből is megvizsgálom a probléma eredetét, mielőtt eljutok annak megoldásához.",6
17,"A probléma megoldását megpróbálom mindkét agyféltekémmel külön-külön megközelíteni: jobb agyféltekémmel, intuitív oldalról és a bal agyféltekémmel, a logikai oldalról.",3
18,"Addig nem értékelem ki az alternatív megoldásokat, amíg azok teljes sorát meg nem határoztam. Nem döntök a legjobb megoldásról addig, amíg nincsen több lehetséges megoldásom.",5
19,"Van néhány speciális technikám, amelyek segítségével kreatív és innovatív megoldásokat tudok kitalálni a problémák megoldására.",4
20,"Gondoskodom arról, hogy minden szempontból eltérő nézetek, szemléletek képviseltessék magukat a komplex problémamegoldó helyzetben.",4
21,"Próbálok információkat gyűjteni a problémamegoldó csoporton kívül is azoktól az egyénektől, akiket érint a meghozandó döntés, elsősorban azért, hogy megtudjam, melyek az ő preferenciáik és mik az ő elvárásaik.",5
22,"Nemcsak azoknak az ötleteit hallgatom meg, akik kreatív megoldást javasolnak, (az ötletek bajnokoktól), hanem azoknak az ötletét is, akik mások ötletét támogatják (támogatók), és azokét is, akik a hátteret adják a megoldások végrehajtására.",4
23,"Bátorítom a kollégákat, hogy a kreatív megoldások elérése érdekében átlépjék a szabályokat, kilépjenek a komfortzónájukból.",5
24,"Segíteni tudok másoknak a saját problémáik felismerésében és meghatározásában, amikor tanácsot adok nekik.",5
25,"Tisztában vagyok azzal, hogy mikor kell valakit coach-ingolni és mikor kell tanácsot adnom helyette.",5
26,"Amikor másoknak visszajelzést adok, nem hivatkozom személyes tulajdonságokra, inkább az adott problémára és annak megoldására koncentrálok.",5
27,"Amikor segíteni próbálok valakinek abban, hogy adott viselkedése pozitív irányba megváltozzon, szinte minden esetben szorosabbra fűzzük a kapcsolatunkat.",4
28,"Objektíven tudok negatív visszajelzést adni másoknak. Tehát objektíven tudok leírni eseményeket, azok következményeit, és hogy milyen érzéseket keltett bennem.",5
29,"Felelősséget vállalok kijelentéseimért és álláspontomért, például a következők használatával: A „Én úgy döntöttem”kijelentést használom az „úgy döntöttek” helyett.",6
30,"Mindig arra törekszem, hogy ha egy más értékrendű személlyel vitába keveredek, akkor valamilyen közös megállapodásra jussunk.",4
31,"Nem beszélek lenézően azokkal az emberekkel, akik nálam alacsonyabb pozícióban vannak, vagy egyszerűen kevesebb információval rendelkeznek, mint én.",5
32,"Amikor valaki problémájáról beszélünk, válaszommal inkább megértést tanúsítok, mint tanácsot adok.",3
33,"Munkám során mindig több erőfeszítést és kezdeményezést teszek, mint amit elvárnak tőlem.",6
34,Folyamatosan fejlesztem készségeimet és tudásomat.,5
35,Határozottan támogatom az ünnepi rendezvényeket és eseményeket a szervezeten belül.,3
36,A szervezet egész területén széles kapcsolati hálót igyekezem kialakítani a szervezet minden szintjén.,5
37,"Munkám során folyamatosan törekszem arra, hogy új ötleteket találjak ki, új tevékenységeket kezdeményezzek és minimalizáljam a rutin feladatokat.",6
38,"Folyamatosan személyes üzeneteket küldök másoknak, főleg akkor, amikor valami fontos feladatot kell végrehajtaniuk, vagy amikor valamilyen fontos információt kell megosztanom velük.",4
39,"Nem vagyok hajlandó tárgyalni olyan személyekkel, akik kényszerítő tárgyalási taktikákat alkalmaznak.",5
40,"Sosem alkalmazok fenyegetést vagy követelőzést, hogy valakire rákényszerítsem az akaratomat.",6
41,"Mindig megvizsgálom, hogy adott személy rendelkezik-e a szükséges forrásokkal és támogatással a feladat megoldásához.",4
42,"Különböző jutalmakat használok arra, hogy a kollégák magas munkateljesítményét támogassam.",4
43,"Úgy határozom meg a feladatokat, hogy azok érdekesek és kihívásokban gazdagok legyen a kollégák számára.",5
44,"Biztos vagyok benne, hogy időben visszajelzést adok az elvégzett feladattal kapcsolatban az érintetteknek.",6
45,"Mindig segítek annak a személynek, aki kihívásokkal teli, speciális és rövid határidejű feladatot kell, hogy megoldjon.",5
46,Csak a legvégső esetben bocsájtok el gyenge munkateljesítményű kollégát.,3
47,"Állandóan figyelmeztetem a kollégákat, ha a munkateljesítményük az elvárásoknak vagy a képességeiknek nem megfelelő.",4
48,Biztosítom az embereknek a tisztességes és méltányos bánásmódot.,6
49,Jó munkateljesítményért dicséretet és különböző elismeréseket adok át.,5
50,Kerülöm a személyes vádakat másokkal szemben.,5
51,"Bátorítom a kétirányú interakciót azáltal, hogy meghívom mindkét oldal képviselőit, hogy legyen lehetőségük a másik szemszögből is megismerni a problémát, illetve hogy kérdéseket tehessenek fel egymásnak.",4
52,"Azt kérem a munkatársaktól, hogy fejtsék ki az elfogadhatóbb lehetőség részleteit.",5
53,"Odafigyelek rá, aggodalmat és érdeklődést mutatok, még akkor is, ha nem értek vele egyet.",5
54,"További információkat gyűjtök, illetve olyan kérdéseket teszek fel, amelyekre adott válaszok konkrét és a helyzetet leíró információkat nyújtanak.",5
55,"Megkérem a másik személyt, hogy javasoljon elfogadhatóbb viselkedést.",4
56,"Nem foglalok állást, semleges maradok.",4
57,"Segítek a feleknek abban, hogy több alternatívát is megismerjenek.",5
58,"Segítek a feleknek abban, hogy megtaláljanak olyan területeket, amelyekben egyet értenek.",5
59,"Segítek az embereknek abban, hogy munkájukban kompetensnek érezzék magukat azáltal, hogy észlelem és velük együtt ünnepelem a saját kis sikereiket.",4
60,Rendszeresen adok visszajelzést és megadom a szükséges támogatást.,5
61,"Megpróbálok minden olyan információt biztosítani, amely az embereknek feladataik elvégzéséhez szükséges.",5
62,Kiemelem az ember munkájának fontos hatását.,4
63,"Világosan megfogalmazom, hogy melyek azok az eredmények, amelyeket elvárok.",6
64,"Egyértelműen meghatározom, hogy mit várok el másoktól, hogy mikor mit tegyenek (például várják meg az instrukciókat, hogy melyik irányba kell tovább haladni; végezzék el a rájuk ruházott feladatot, majd jelentsék, ha elkészültek vele; végezzék el a teljes feladatot és csak utána jelezzenek. stb.)",5
65,"Engedem, hogy azok a személyek, akik elfogadják a megbízást, ők döntsék el, hogy mikor és hogyan végzik el a munkát.",4
66,"Ha egy probléma felmerül, inkább tanácsot kérek és kérdezek főnökeimtől, minthogy tőlük várom a megoldást.",6
67,"A delegált, azaz mások számára kiosztott feladatokat folyamatosan, rendszeresen utókövetem.",6
68,"Tisztában vagyok azzal, hogy hogyan tudok hiteles lenni és ugyanakkor hogyan tudom a csapattagokat befolyásolni.",5
69,"Világos és következetes vagyok abban, amit el akarok érni.",5
70,"Közös alapot alakítok ki a csapatomban a tagok egyetértésével, mielőtt tovább folytatják a feladat megoldását.",5
71,"Pontosan ismertetem a csapattal, hogy rövidtávon milyen célokat és sikereket tudnak elérni.",4
72,"Különféle módszereket ismerek arra vonatkozóan, hogy hogyan lehet csapatban a feladatokat könnyen megoldani.",4
73,"Számos módszert ismerek arra vonatkozóan, hogy hogyan lehet szoros kapcsolatokat létrehozni és együttműködésre serkenteni a csapattagokat.",4
74,A csapatfejlesztés különböző szakaszait jól ismerem.,4
75,"Segítem a csapatot a „birkaszellem” elkerülésében, azáltal, hogy biztosítom, hogy a sokféle vélemény kifejezésre juthasson a csapatban.",5
76,Képes vagyok kielemezni és előnyt kovácsolni a csapatom fő kompetenciáiból vagy egyedi erősségeiből.,6
77,"A csapatot arra ösztönzöm, hogy egyrészt drámai áttöréseket hozzon létre az innováció terén, másrészt pedig folyamatosan fejlesszenek, akár kis fejlesztéseket is.",4
78,"Pozitív energiát sugározok másoknak, akikkel kapcsolatba lépek.",5
79,"Hangsúlyozzam, hogy a kívánt változás milyen magasabb célok eléréséhez vezet.",5
80,"Gyakran és szembetűnő módon köszönetet mondok, még a kisebb cselekedetekért is.",5
81,"Hangsúlyozom, hogy az erősségekre építünk, és nemcsak a gyengeségeket küzdjük le.",4
82,"Kommunikációm során sokkal több pozitív megjegyzést használok, mint negatívat.",5
83,"Amikor az elérendő célról beszélek, nemcsak az emberek józan eszére, hanem a szívére is hatással vagyok.",3
84,"Tudom, hogyan lehet rávenni az embereket arra, hogy támogassák és részesei legyenek a pozitív változásnak, amit el akarok érni.",5
